# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 310:         3.596       51.442       8.00  VLISSINGEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# 
# STN,YYYYMMDD,   FG
# 
  310,20170105,   41
  310,20170106,   58
  310,20170107,   57
  310,20170108,   23
  310,20170109,   73
  310,20170110,   48
  310,20170111,  102
  310,20170112,   85
  310,20170113,  104
  310,20170114,   73
  310,20170115,   28
  310,20170116,   27
  310,20170117,   35
  310,20170118,   31
  310,20170119,   39
  310,20170120,   46
  310,20170121,   40
  310,20170122,   19
  310,20170123,   40
  310,20170124,   28
  310,20170125,   46
  310,20170126,   59
  310,20170127,   64
  310,20170128,   72
  310,20170129,   84
  310,20170130,   57
  310,20170131,   54
  310,20170201,   69
  310,20170202,   79
  310,20170203,   74
  310,20170204,   47
  310,20170205,   49
  310,20170206,   25
  310,20170207,   40
  310,20170208,   43
  310,20170209,   50
  310,20170210,   45
  310,20170211,   41
  310,20170212,   59
  310,20170213,   82
  310,20170214,   71
  310,20170215,   50
  310,20170216,   62
  310,20170217,   44
  310,20170218,   35
  310,20170219,   67
  310,20170220,   84
  310,20170221,   85
  310,20170222,  160
  310,20170223,  162
  310,20170224,   50
  310,20170225,   94
  310,20170226,   93
  310,20170227,  118
  310,20170228,  104
  310,20170301,   70
  310,20170302,  126
  310,20170303,   67
  310,20170304,   62
  310,20170305,   96
  310,20170306,   53
  310,20170307,   44
  310,20170308,   80
  310,20170309,   61
  310,20170310,   38
  310,20170311,   37
  310,20170312,   31
  310,20170313,   42
  310,20170314,   51
  310,20170315,   27
  310,20170316,   34
  310,20170317,   83
  310,20170318,  111
  310,20170319,  122
  310,20170320,  115
  310,20170321,   82
  310,20170322,   70
  310,20170323,   70
  310,20170324,   73
  310,20170325,   85
  310,20170326,   61
  310,20170327,   39
  310,20170328,   44
  310,20170329,   75
  310,20170330,   65
  310,20170331,   65
  310,20170401,   31
  310,20170402,   33
  310,20170403,   23
  310,20170404,   38
  310,20170405,   51
  310,20170406,   37
  310,20170407,   40
  310,20170408,   21
  310,20170409,   31
  310,20170410,   49
